"ACCOUNTNUMBER","ACCOUNTSOURCE","ACTIVE__C","ANNUALREVENUE","BILLINGCITY","BILLINGADDRESS","YEARSTARTED","WEBSITE","UPSELLOPPORTUNITY__C","TYPE","TRADESTYLE","TICKERSYMBOL","SYSTEMMODSTAMP","SITE","SICDESC","SIC","SHIPPINGSTREET","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGLONGITUDE","SHIPPINGLATITUDE","SHIPPINGGEOCODEACCURACY","SHIPPINGCITY","SHIPPINGCOUNTRY","SHIPPINGADDRESS","SEGMENT__C","SLA__C","SLASERIALNUMBER__C","SLAEXPIRATIONDATE__C","RATING","PHOTOURL","PHONE","PARENTID","OWNERSHIP","OWNERID","NUMBEROFLOCATIONS__C","NUMBEROFEMPLOYEES","BILLINGCOUNTRY","BILLINGGEOCODEACCURACY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGPOSTALCODE","BILLINGSTATE","BILLINGSTREET","CLEANSTATUS","CREATEDBYID","CREATEDDATE","CUSTOMERPRIORITY__C","DANDBCOMPANYID","DUNSNUMBER","FAX","DESCRIPTION","ID","INDUSTRY","ISDELETED","JIGSAW","JIGSAWCOMPANYID","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","MASTERRECORDID","NAICSCODE","NAME","NAICSDESC"
"","Partner","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1610","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKPzAAN","","","","0052w00000BXX9qAAH","","5000","Thailand","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKPzAAN","Technology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Greer122 Inc",""
"","Public Relations","","1000000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","1629","","","","","","","","","","ENT","","","","","/services/images/photo/0012w00001BpKQ0AAN","","","","0052w00000BXX9lAAH","","5000","Switzerland","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQ0AAN","Banking","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Stewart123 Inc",""
"","Web","","1000000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","2400","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKQ1AAN","","","","0052w00000BXX9zAAH","","5000","Normway","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQ1AAN","Manufacturing","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Frank124 Inc",""
"","Web","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","3220","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKQ2AAN","","","","0052w00000BXX9yAAH","","5000","Hong Kong","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQ2AAN","Telecommunications","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Burke125 Inc",""
"","Partner","","1000000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","1610","","","","","","","","","","ENT","","","","","/services/images/photo/0012w00001BpKQ3AAN","","","","0052w00000BXX9uAAH","","5000","Korea","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQ3AAN","Healthcare","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Bates126 Inc",""
"","Word of mouth","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1629","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKQ4AAN","","","","0052w00000BXX9yAAH","","5000","Japan","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQ4AAN","Transportation","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Nash127 Inc",""
"","Web","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","2400","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKQ5AAN","","","","0052w00000BXX9mAAH","","5000","Japan","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQ5AAN","Transportation","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Morton128 Inc",""
"","Trade Show","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","3220","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKQ6AAN","","","","0052w00000BXX9rAAH","","5000","Korea","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQ6AAN","Agriculture","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Cruz129 Inc",""
"","Word of mouth","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1610","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKQ7AAN","","","","0052w00000BXX9vAAH","","5000","Switzerland","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQ7AAN","Apparel","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Jennings130 Inc",""
"","Trade Show","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1629","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKQ8AAN","","","","0052w00000BXXA0AAP","","5000","Italy","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQ8AAN","Manufacturing","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Rodgers131 Inc",""
"","Employee Referral","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","2400","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKQ9AAN","","","","0052w00000BXX9vAAH","","5000","Taiwan","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQ9AAN","Apparel","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Cobb132 Inc",""
"","Trade Show","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","3220","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKQAAA3","","","","0052w00000BXXA0AAP","","5000","USA","","","","","OR","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQAAA3","Technology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Johnston133 Inc",""
"","Word of mouth","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1610","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKQBAA3","","","","0052w00000BXX9wAAH","","5000","Canada","","","","","AZ","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQBAA3","Finance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Nichols134 Inc",""
"","Partner","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1629","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKQCAA3","","","","0052w00000BXX9mAAH","","5000","Hong Kong","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQCAA3","Manufacturing","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Larson135 Inc",""
"","Web","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","2400","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKQDAA3","","","","0052w00000BXXA2AAP","","5000","Thailand","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQDAA3","Energy","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Thompson136 Inc",""
"","Employee Referral","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","3220","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKQEAA3","","","","0052w00000BXX9vAAH","","5000","Japan","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQEAA3","Electronics","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Ramirez137 Inc",""
"","Web","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1610","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKQFAA3","","","","0052w00000BXX9pAAH","","5000","Spain","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQFAA3","Retail","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Peters138 Inc",""
"","Web","","1000000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","1629","","","","","","","","","","ESMB","","","","","/services/images/photo/0012w00001BpKQGAA3","","","","0052w00000BXXA3AAP","","5000","USA","","","","","KY","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQGAA3","Transportation","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Pope139 Inc",""
"","Trade Show","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","2400","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKQHAA3","","","","0052w00000BXX9uAAH","","5000","China","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQHAA3","Energy","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Lopez140 Inc",""
"","Partner","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","3220","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKQIAA3","","","","0052w00000BXXA3AAP","","5000","Germany","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQIAA3","Utilities","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Daniels141 Inc",""
"","Advertisement","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1610","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKQJAA3","","","","0052w00000BXX9rAAH","","5000","Canada","","","","","NJ","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQJAA3","Energy","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Underwood142 Inc",""
"","Employee Referral","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1629","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKQKAA3","","","","0052w00000BXX9tAAH","","5000","Italy","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQKAA3","Media","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","McKenzie143 Inc",""
"","Employee Referral","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","2400","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKQLAA3","","","","0052w00000BXXA2AAP","","5000","Brazil","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQLAA3","Engineering","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Quinn144 Inc",""
"","Employee Referral","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","3220","","","","","","","","","","MM","","","","","/services/images/photo/0012w00001BpKQMAA3","","","","0052w00000BXX9nAAH","","5000","Canada","","","","","MS","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQMAA3","Insurance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Newman145 Inc",""
"","Employee Referral","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1610","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKQNAA3","","","","0052w00000BXX9rAAH","","5000","USA","","","","","CT","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQNAA3","Energy","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Knight146 Inc",""
"","Word of mouth","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","1629","","","","","","","","","","SMB","","","","","/services/images/photo/0012w00001BpKQOAA3","","","","0052w00000BXXA0AAP","","5000","USA","","","","","CO","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQOAA3","Biotechnology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Graves147 Inc",""
"","Word of mouth","","1000000.0","","","","","","Customer","","","2022-12-17T23:04:40.000Z","","","2400","","","","","","","","","","COMM","","","","","/services/images/photo/0012w00001BpKQPAA3","","","","0052w00000BXXA1AAP","","5000","Japan","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQPAA3","Biotechnology","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Thomas148 Inc",""
"","Web","","1000000.0","","","","","","Partner","","","2022-12-17T23:04:40.000Z","","","3220","","","","","","","","","","GB","","","","","/services/images/photo/0012w00001BpKQQAA3","","","","0052w00000BXX9pAAH","","5000","Taiwan","","","","","","","Pending","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","","0012w00001BpKQQAA3","Insurance","true","","","","0052w00000B4VTyAAN","2022-12-17T23:04:40.000Z","","","","","Colon149 Inc",""
