"ACCOUNTID","AMOUNT","CAMPAIGNID","CLOSEDATE","CONTACTID","CREATEDBYID","CREATEDDATE","CURRENTGENERATORS__C","DELIVERYINSTALLATIONSTATUS__C","DESCRIPTION","EXPECTEDREVENUE","FISCAL","FISCALQUARTER","FISCALYEAR","FORECASTCATEGORY","FORECASTCATEGORYNAME","HASOPPORTUNITYLINEITEM","HASOPENACTIVITY","HASOVERDUETASK","ID","ISCLOSED","ISDELETED","ISPRIVATE","ISWON","LASTACTIVITYDATE","LASTAMOUNTCHANGEDHISTORYID","LASTCLOSEDATECHANGEDHISTORYID","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTSTAGECHANGEDATE","LASTVIEWEDDATE","LEADSOURCE","MAINCOMPETITORS__C","NAME","NEXTSTEP","OPPORTUNITY_SOURCE__C","ORDERNUMBER__C","OWNERID","PRICEBOOK2ID","PROBABILITY","PUSHCOUNT","RECORDTYPEID","STAGENAME","SYSTEMMODSTAMP","TOTALOPPORTUNITYQUANTITY","TRACKINGNUMBER__C","TYPE"
"0012w00001Cq7BoAAJ","32400.0","","2023-04-02","","0052w00000B4VTyAAN","2022-08-09T00:00:00.000Z","","","","3240.0","2023 2","2","2023","Pipeline","Pipeline","true","true","false","0062w00000GjfDjAAJ","false","false","false","false","2023-01-18","","","0052w00000B4VTyAAN","2023-01-12T23:34:01.000Z","","","","Employee Referral","","Opportunity for Conner5","","Alliances","","0052w00000BXX9wAAH","01s2w00000J2EzPAAV","10.0","0","0122w000001Ypd0AAC","Qualification","2023-01-12T23:34:13.000Z","810.0","","Existing Business"
"0012w00001Cq6ygAAB","397280.0","","2022-04-19","","0052w00000B4VTyAAN","2022-02-23T00:00:00.000Z","","","","0.0","2022 2","2","2022","Omitted","Omitted","true","false","false","0062w00000GjfDkAAJ","true","false","false","false","","0082w00000rVzOBAA0","","0052w00000B4VTyAAN","2023-01-12T23:34:01.000Z","","","","Employee Referral","","Opportunity for Wood9","","AE","","0052w00000BXX9zAAH","01s2w00000J2EzPAAV","0.0","0","0122w000001Ypd0AAC","Closed Lost","2023-01-12T23:34:01.000Z","3500.0","","New Business / Add-on"
"0012w00001Cq7BJAAZ","21640.0","","2022-08-21","","0052w00000B4VTyAAN","2022-04-07T00:00:00.000Z","","","","21640.0","2022 3","3","2022","Closed","Closed","true","false","false","0062w00000GjfDoAAJ","true","false","false","true","","","","0052w00000B4VTyAAN","2023-01-12T23:34:03.000Z","","","","Trade Show","","Opportunity for Jefferson17","","Marketing","","0052w00000BXXA1AAP","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:03.000Z","541.0","","New Business / Add-on"
"0012w00001Cq72oAAB","1249000.0","","2023-02-17","","0052w00000B4VTyAAN","2022-10-16T00:00:00.000Z","","","","1124100.0","2023 1","1","2023","Forecast","Commit","true","true","true","0062w00000GjfDpAAJ","false","false","false","false","2023-01-30","0082w00000rVzOCAA0","","0052w00000B4VTyAAN","2023-01-12T23:34:04.000Z","","","","Advertisement","","Opportunity for McLaughlin130","","Marketing","","0052w00000BXX9qAAH","01s2w00000J2EzPAAV","90.0","0","0122w000001Ypd0AAC","Negotiation/Review","2023-01-12T23:34:13.000Z","2498.0","","Existing Business"
"0012w00001Cq76lAAB","754640.0","","2023-01-17","","0052w00000B4VTyAAN","2022-05-31T00:00:00.000Z","","","","528248.0","2023 1","1","2023","BestCase","Best Case","true","true","false","0062w00000GjfDqAAJ","false","false","false","false","2023-01-13","0082w00000rVyvzAAC","","0052w00000B4VTyAAN","2023-01-12T23:33:59.000Z","","","","Trade Show","","Opportunity for Chandler133","","AE","","0052w00000BXX9vAAH","01s2w00000J2EzPAAV","70.0","0","0122w000001Ypd0AAC","Perception Analysis","2023-01-12T23:34:13.000Z","1777.0","","New Business"
"0012w00001Cq75QAAR","243450.0","","2021-10-31","","0052w00000B4VTyAAN","2021-08-20T00:00:00.000Z","","","","243450.0","2021 4","4","2021","Closed","Closed","true","false","false","0062w00000GjfDrAAJ","true","false","false","true","","0082w00000rVzRkAAK","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Word of mouth","","Opportunity for Rice134","","AE","","0052w00000BXX9uAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:06.000Z","1831.0","","New Business"
"0012w00001Cq79YAAR","363400.0","","2023-01-29","","0052w00000B4VTyAAN","2022-10-15T00:00:00.000Z","","","","36340.0","2023 1","1","2023","Pipeline","Pipeline","true","true","true","0062w00000GjfDtAAJ","false","false","false","false","2023-01-23","0082w00000rVzODAA0","","0052w00000B4VTyAAN","2023-01-12T23:34:04.000Z","","","","Word of mouth","","Opportunity for Barnes141","","BDR","","0052w00000BXXA3AAP","01s2w00000J2EzPAAV","10.0","0","0122w000001Ypd0AAC","Qualification","2023-01-12T23:34:13.000Z","2450.0","","New Business / Add-on"
"0012w00001Cq729AAB","4212140.0","","2023-02-04","","0052w00000B4VTyAAN","2022-11-01T00:00:00.000Z","","","","2948498.0","2023 1","1","2023","BestCase","Best Case","true","true","true","0062w00000GjfDxAAJ","false","false","false","false","2023-01-08","0082w00000rVyw0AAC","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Public Relations","","Opportunity for Edwards146","","Marketing","","0052w00000BXX9yAAH","01s2w00000J2EzPAAV","70.0","0","0122w000001Ypd0AAC","Perception Analysis","2023-01-12T23:34:13.000Z","5158.0","","New Business"
"0012w00001Cq77zAAB","2664105.0","","2022-07-07","","0052w00000B4VTyAAN","2022-01-11T00:00:00.000Z","","","","2664105.0","2022 3","3","2022","Closed","Closed","true","false","false","0062w00000GjfE6AAJ","true","false","false","true","","0082w00000rVyw2AAC","","0052w00000B4VTyAAN","2023-01-12T23:34:03.000Z","","","","Advertisement","","Opportunity for Murphy267","","Marketing","","0052w00000BXXA3AAP","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:03.000Z","4379.0","","Existing Business"
"0012w00001Cq71HAAR","1518190.0","","2022-12-17","","0052w00000B4VTyAAN","2022-09-27T00:00:00.000Z","","","","1518190.0","2022 4","4","2022","Closed","Closed","true","true","true","0062w00000GjfE7AAJ","true","false","false","true","2022-12-18","0082w00000rVzOFAA0","","0052w00000B4VTyAAN","2023-01-12T23:34:06.000Z","","","","Web","","Opportunity for Freeman268","","AE","","0052w00000BXX9wAAH","01s2w00000J2EzPAAV","100.0","0","0122w000001Ypd0AAC","Closed Won","2023-01-12T23:34:13.000Z","5987.0","","New Business"
